quarter,town,flat_type,median_rent
2005-Q4,SEMBAWANG,3-RM,na                         
2005-Q4,SEMBAWANG,4-RM,-                          
2005-Q4,SEMBAWANG,5-RM,-                          
2005-Q4,SEMBAWANG,EXEC,-                          
2005-Q4,SENGKANG,1-RM,na                          
2005-Q4,SENGKANG,2-RM,na                          
2005-Q4,SENGKANG,3-RM,na                          
2005-Q4,SENGKANG,4-RM,-                           
2005-Q4,SENGKANG,5-RM,940
2005-Q4,SENGKANG,EXEC,-                           
2005-Q4,SERANGOON,1-RM,na                         
2005-Q4,SERANGOON,2-RM,na                         
2005-Q4,SERANGOON,3-RM,-                          
2005-Q4,SERANGOON,4-RM,980
2005-Q4,SERANGOON,5-RM,-                          
2005-Q4,SERANGOON,EXEC,-                          
2005-Q4,TAMPINES,1-RM,na                          
2005-Q4,TAMPINES,2-RM,na                          
2005-Q4,TAMPINES,3-RM,850
2005-Q4,TAMPINES,4-RM,975
2005-Q4,TAMPINES,5-RM,1000
2005-Q4,TAMPINES,EXEC,-                           
2005-Q4,TOA PAYOH,1-RM,na                         
2005-Q4,TOA PAYOH,2-RM,-                          
2005-Q4,TOA PAYOH,3-RM,800
2005-Q4,TOA PAYOH,4-RM,900
2005-Q4,TOA PAYOH,5-RM,-                          
2006-Q2,BISHAN,5-RM,1200
2005-Q4,TOA PAYOH,EXEC,-                          
2005-Q4,WOODLANDS,1-RM,na                         
2005-Q4,WOODLANDS,2-RM,na                         
2005-Q4,WOODLANDS,3-RM,-                          
2005-Q4,WOODLANDS,4-RM,800
2005-Q4,WOODLANDS,5-RM,900
2005-Q4,WOODLANDS,EXEC,1000
2005-Q4,YISHUN,1-RM,na                            
2005-Q4,YISHUN,2-RM,-                             
2005-Q4,YISHUN,3-RM,735
2005-Q4,YISHUN,4-RM,850
2005-Q4,YISHUN,5-RM,-                             
2005-Q4,YISHUN,EXEC,-                             
2006-Q1,ANG MO KIO,1-RM,na                        
2006-Q1,ANG MO KIO,2-RM,-                         
2006-Q1,ANG MO KIO,3-RM,800
2006-Q1,ANG MO KIO,4-RM,950
2006-Q1,ANG MO KIO,5-RM,-                         
2006-Q1,ANG MO KIO,EXEC,na                        
2006-Q1,BEDOK,1-RM,na                             
2006-Q1,BEDOK,2-RM,-                              
2006-Q1,BEDOK,3-RM,800
2006-Q1,BEDOK,4-RM,950
2006-Q1,BEDOK,5-RM,-                              
2006-Q1,BEDOK,EXEC,-                              
2006-Q1,BISHAN,1-RM,na                            
2006-Q1,BISHAN,2-RM,na                            
2006-Q1,BISHAN,3-RM,-                             
2006-Q1,BISHAN,4-RM,1000
2006-Q1,BISHAN,5-RM,1150
2006-Q1,BISHAN,EXEC,-                             
2006-Q1,BUKIT BATOK,1-RM,na                       
2006-Q1,BUKIT BATOK,2-RM,na                       
2006-Q1,BUKIT BATOK,3-RM,750
2006-Q1,BUKIT BATOK,4-RM,900
2006-Q1,BUKIT BATOK,5-RM,-                        
